category,type,color,material,name,collection,tags_typology,tags_context,description,details,size,price,images,url
donna,giacche,blu navy,cachemire,Giacca monopetto in jersey di puro cashmere,P/E 2023,elegant,dinner,"La morbidezza del jersey di puro cashmere ingentilisce le linee di questa giacca monopetto a un bottone. Il modello, con revers a specchio, due tasche applicate e un taschino sul petto, è perfetto da abbinare a un pantalone scivolato e una maglia girocollo o a lupetto, per un look décontracté ma ricercato al tempo stesso.","- Composizione: 100% cachemire
- Revers a specchio
- Chiusura monopetto a un bottone
- Due tasche applicate
- Un taschino a filetto sul petto
- Polsini con bottoni
- Uno spacco al centro dietro
- Lunghezza: 66 cm
- Made in Italy","38, 40, 42, 44, 46, 48",2900,"[{""color"":""blunavy"",""url"":""https://www.armani.com/variants/images/46376663162570871/F/w800.jpg""}]",https://www.armani.com/it-it/giacca-monopetto-in-jersey-di-puro-cashmere_cod46376663162570871.html
donna,pantaloni,blu navy e nero,lana,Pantaloni in crepe di lana,P/E 2023,elegant,"everyday, dinner","Una ventata di eleganza décontracté dà vita a questi pantaloni che si caratterizzano per il fondo corto che slancia la figura. Le linee pulite e i dettagli essenziali fanno di questo capo un modello evergreen del guardaroba di ogni donna, da personalizzare con gli abbinamenti a seconda dell'occasione.","- Composizione: 100% lana vergine
- Fresco di lana
- Riprese
- Tinta unita basic
- Vita normale
- Zip e bottoni","38, 40, 42, 44, 46, 48, 50",650,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/17411127375778879/F/w800.jpg""},{""color"":""blunavy"",""url"":""https://www.armani.com/variants/images/17411127375778878/F/w800.jpg""}]",https://www.armani.com/it-it/pantaloni-in-crepe-di-lana_cod17411127375778878.html
donna,scarpe,nero,pelle,Slingback in nappa con dettaglio elastici,P/E 2023,elegant,everyday,"Linea grintosa per queste slingback realizzate in nappa, dalla mano estremamente confortevole, caratterizzate dal cinturino con elastico. Il modello si distingue per la punta leggermente squadrata e il comodo tacco geometrico a clessidra. Perfette con pantaloni e gonne, rappresentano il complemento ideale di numerosi look da giorno.","- Composizione: 100% pelle di agnello
- Punta leggermente squadrata
- Dettaglio elastico sul tallone
- Soletta in pelle
- Suola in cuoio
- Tacco geometrico a clessidra
- Altezza: 3,5 cm
- Made in Italy","37, 38, 38.5, 39, 40, 41",650,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/1647597298977458/F/w800.jpg""}]",https://www.armani.com/it-it/slingback-in-nappa-con-dettaglio-elastici_cod1647597298977458.html
donna,abiti,rosa,tulle,Abito in tulle cielo stellato,P/E 2023,elegant,special event,"Prezioso e luminoso, questo abito lungo da sera è realizzato nel raffinato tulle effetto cielo stellato, tessuto portavoce dei look più scenografici della collezione show. Un modello dal fascino romantico ed etereo, frutto di una lavorazione tutta italiana che vede l'utilizzo di diversi strati di tulle multicolore sormontati da uno strato ricamato con paillettes argento che dà vita ai bagliori che ne movimentano i volumi. Un capo lussuoso, impreziosito da un piping in scintillanti cristalli Swarovski, pensato per look speciali che lasciano il segno.","- Composizione: 100% poliammide
- Spalline sottili in Swarovski
- Dettaglio arricciatura sullo scollo
- Prezioso piping con cristalli in tono
- Modello realizzato con tre strati di tulle multicolore
- Ricamo paillettes effetto cielo stellato
- Fodera in charmeause di seta
- Made in Italy","40, 42",7500,"[{""color"":""rosa"",""url"":""https://www.armani.com/variants/images/1647597282713369/D/w960.jpg""}]",https://www.armani.com/it-IT/abito-in-tulle-cielo-stellato_cod1647597282713369.html
donna,scarpe,nude e nero,pelle,Ballerine in nappa con dettaglio elastici,,elegant,everyday,"La ballerina si distingue da sempre come calzatura confortevole e passepartout, grazie al suo design essenziale e al tempo stesso elegante. Questo modello, realizzato in morbida nappa e declinata nei colori di stagione, si caratterizza per la punta leggermente squadrata e il dettaglio degli elastici, che richiamano altri elementi di collezione.","- Composizione: 100% pelle di agnello
- Punta leggermente squadrata
- Dettaglio elastico sul tallone
- Soletta in pelle
- Suola in cuoio
- Altezza: 1, 5 cm
- Made in Italy","37, 38, 39, 40, 41",620,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/1647597298978749/F/w800.jpg""},{""color"":""nude"",""url"":""https://www.armani.com/variants/images/1647597298978750/F/w800.jpg""}]",https://www.armani.com/it-it/ballerine-in-nappa-con-dettaglio-elastici_cod1647597298978750.html
donna,scarpe,nude e nero,pelle,Slingback con tacco in vernice con scollo asimmetrico,P/E 2023,elegant,"special event, dinner, cocktail, everyday","Un modello classico e intramontabile perfetto per outfit quotidiani e per occasioni più speciali. Décolleté slingback realizzate in pelle verniciata con esclusivo scollo asimmetrico, dettaglio distintivo tipico della maison. Altezza tacco: 8,5 cm.","- Composizione: 100% pelle di vitello
- Effetto verniciato
- Tinta unita basic
- Chiusura con fibbia
- Suola in cuoio
- Punta stretta
- Tacco a stiletto
- Tacco rivestito","36, 37, 37.5, 38, 38.5, 39, 40, 41",520,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/17266703523688198/F/w800.jpg""},{""color"":""nude"",""url"":""https://www.armani.com/variants/images/17266703523688199/F/w800.jpg""}]",https://www.armani.com/it-it/slingback-con-tacco-in-vernice-con-scollo-asimmetrico_cod17266703523688199.html?
donna,abiti,blu e nero,misto viscosa,Abito longuette in misto viscosa punto Milano,P/E 2023,elegant,"special event, dinner","Elegante e raffinato tubino, caratterizzato dalla vestibilità aderente, che sottolinea ed esalta la silhouette. Il modello, realizzato in misto viscosa stretch punto Milano, è impreziosito dalla motivo di pieghe sul corpino che crea un sensuale ma discreto spacco frontale. Un modello sofisticato, che si adatta a look da giorno come da sera con un semplice cambio di accessori.","- Composizione: 71% viscosa, 24% poliammide, 5% elastan
- Scollo a V
- Maniche a 3/4 con dettaglio zip
- Dettaglio pieghe sul corpino
- Spacco frontale
- Chiusura con zip sul retro
- Lunghezza: 120 cm
- Made in Italy","38, 40, 42, 44, 46, 48

",950,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/1647597298995649/F/w960.jpg""},{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298994661/F/w800.jpg""}]",https://www.armani.com/it-IT/abito-longuette-in-misto-viscosa-punto-milano_cod1647597298995649.html
donna,sandali,oro,viscosa e seta,Sandali con tacco motivo snake,P/E 2023,elegant,"special event, dinner","Linea sensuale per questi sandali con tacco a spillo, realizzati in raso di viscosa e seta, caratterizzati dal particolare motivo snake che veste con eleganza il dorso del piede. Un modello dall'allure sofisticata, che saprà completare diversi outfit con un tocco ricercato ed elegante."," - Composizione: 72% viscosa, 28% seta di gelso
- Motivo snake
- Tacco a spillo
- Soletta in pelle con logo
- Altezza tacco: 7 cm
- Made in Italy","37, 38, 38.5, 39, 39.5, 40, 41",850,"[{""color"":""oro"",""url"":""https://www.armani.com/variants/images/1647597298983113/F/w800.jpg""}]",https://www.armani.com/it-it/sandali-con-tacco-motivo-snake_cod1647597298983113.html
donna,t-shirt,blu e bianco,cotone,T-shirt over in cotone ricamato,Denim Collection,casual,everyday,"L'ingresso della sede storica della maison impreziosisce la parte frontale di questa t-shirt over realizzata in fresco e morbido jersey di cotone. Il modello, girocollo si caratterizza per il ricamo frontale a contrasto e si presta a numerosi abbinamenti con altre creazioni della linea Denim Collection, per look grintosi e di tendenza.","- Composizione: 100% cotone
- Girocollo
- Maniche corte con spalla scesa
- Ricamo esclusivo Capsule Denim a contrasto","38, 40, 42, 44, 46, 48",350,"[{""color"":""bianco"",""url"":""https://www.armani.com/variants/images/1647597298967292/F/w800.jpg""},{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298967291/F/w800.jpg""}]",https://www.armani.com/it-it/denim-collection-t-shirt-over-in-cotone-ricamato_cod1647597298967292.html
donna,pantaloni,denim,cotone,Pantaloni ampi in denim di cotone stretch,Denim Collection,casual,everyday,"Pantaloni ampi realizzati in denim di cotone stretch, dalla vestibilità confortevole e la mano morbida. Il modello, a vita alta e con tasche oblique impunturate, è personalizzato dal logo GA ricamato sulla tasca posteriore, che richiama altri capi della collezione. Un capo estremamente versatile, complemento perfetto di numerosi look.","- Composizione: 98% cotone, 2% elastan
- Vita alta
- Chiusura con zip e bottone
- Due tasche frontali oblique
- Due tasche a toppa sul retro
- Logo GA ricamato","38, 40, 42, 44, 46, 48",950,"[{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298973575/F/w800.jpg""}]",https://www.armani.com/it-it/denim-collection-pantaloni-ampi-in-denim-di-cotone-stretch_cod1647597298973575.html
donna,giacche,blu,lino,Caban corto in lino stampa delavé,Denim Collection,casual,everyday,"Attitudine disinvolta per questo caban corto realizzato in lino stampa delavé, accoppiato alla stampa floreale di collezione che ne delinea anche i profili. Il modello, con due ampie tasche sagomate sul davanti, si distingue per la vestibilità morbida e lo stile ricercato. Perfetto complemento di look da giorno in abbinamento ai denim di collezione.","- Composizione: 100% lino
- Collo montante
- Due ampie tasche a toppa sagomate sul davanti
- Sfoderato
- Lunghezza: 50 cm
- Made in Italy","38, 40, 42, 44, 46, 48, 50",1500,"[{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298974793/F/w800.jpg""}]",https://www.armani.com/it-it/denim-collection-caban-corto-in-lino-stampa-delave_cod1647597298974793.html
uomo,giacche,bianco,cotone,Blouson in cotone gessato ,Armani Sustainability Values,casual,everyday,"La stampa a righe verticali, elemento ricorrente di collezione, impreziosisce le linee essenziali di questo blouson monopetto in cotone realizzato con fibre naturali da agricoltura biologica. Il modello presenta collo guru, chiusura con bottoni e due tasche applicate con patta, che sottolineano lo spirito sportivo e urbano del capo. Un modello d'impatto, perfetto per completare look da giorno in chiave décontracté.","- Composizione: 100% Cotone
- Collo guru a un bottone
- Chiusura con bottoni
- Due tasche applicate sul petto
- Due tasche laterali a filetto
- Polsini con stringitori
- Dettaglio elastico al fondo
- Sfoderato
- Lunghezza: 62 cm
- Made in Italy","46, 48, 50, 52, 54, 56",1900,"[{""color"":""bianco"",""url"":""https://www.armani.com/variants/images/1647597313161503/F/w480.jpg""}]",https://www.armani.com/it-it/blouson-in-cotone-gessato-armani-sustainability-values_cod1647597313161503.html
uomo,pantaloni,bianco,cotone,Pantaloni a una pince in cotone gessato,"Armani Sustainability Values
",casual,everyday,"La stampa a righe verticali, elemento ricorrente di collezione, impreziosisce le linee essenziali di questi pantaloni a una pince realizzati in cotone realizzato con fibre naturali da agricoltura biologica. Il modello presenta elastico in vita con coulisse, chiusura con bottone e zip e due tasche a filetto, elementi che sottolineano lo spirito sportivo e urbano del capo. Un modello d'impatto, perfetto per completare look da giorno in chiave décontracté.","- Composizione: 100% Cotone
- Modello a una pince
- Elastico in vita con coulisse
- Chiusura con bottone e zip
- Due tasche a filetto
- Due tasche sul retro a filetto
- Ampiezza fondo: 19 cm
- Made in Italy","46, 48, 50, 52, 54, 56",990,"[{""color"":""bianco"",""url"":""https://www.armani.com/variants/images/1647597313161518/F/w480.jpg""}]",https://www.armani.com/it-it/pantaloni-a-una-pince-in-cotone-gessato-armani-sustainability-values_cod1647597313161518.html
uomo,giacche,blu,misto cotone,"Giacca doppiopetto in seersucker di cotone gessato",P/E 2023,casual,everyday,"Giacca doppiopetto realizzata in seersucker di cotone, caratterizzata dalla lavorazione gessato, che accentua la verticalità del modello. Un capo che si distingue per un'attitude rilassata, che mescola dettagli formali ad altri d'ispirazione più sportiva, come le due tasche applicate, il taschino sul petto e gli stringitori ai polsi. Versatile e informale, perfetto complemento di look adatti al giorno e al tempo libero.","- Composizione: 72% Cotone 24% Viscosa 4% Elastan
- Giacca doppiopetto
- Chiusura con bottoni
- Un taschino sul petto
- Due tasche applicate
- Polsini con stringitori
- Sfoderata
- Lunghezza: 72 cm
- Made in Italy","46, 48, 50, 52, 54",1900,"[{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597313161492/F/w480.jpg""}]",https://www.armani.com/it-it/giacca-doppiopetto-in-seersucker-di-cotone-gessato_cod1647597313161492.html
uomo,pantaloni,blu,misto cotone,"Pantaloni cargo a due pinces in seersucker di cotone gessato
",P/E 2023,casual,everyday,"Pantaloni cargo realizzati in seersucker di cotone, caratterizzati dalla lavorazione gessato, che accentua la verticalità del modello. Un capo che si distingue per un'attitude rilassata, sottolineata da dettagli d'ispirazione sporty come la maxi tasca applicata e i volumi volutamente over. Versatili e contemporanei, perfetto complemento di look adatti al giorno e al tempo libero.","- Composizione: 72% Cotone 24% Viscosa 4% Elastan
- Modello a due pinces
- Cinturone con passanti
- Chiusura a due bottoni e zip
- Due tasche laterali a filetto
- Un tascone frontale con patta e bottone
- Due tasche sul retro a filetto con bottone
- Ampiezza fondo: 22 cm
- Made in Italy","46, 48, 50, 52",990,"[{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597313161514/F/w480.jpg""}]",https://www.armani.com/it-it/pantaloni-cargo-a-due-pinces-in-seersucker-di-cotone-gessato_cod1647597313161514.html
uomo,giacche,blu navy,misto viscosa,"Blouson in misto viscosa con ricamo
",Armani Sustainability Values,casual,everyday,"Blouson in misto viscosa, realizzata con fibre artificiali di origine naturale da forestazione responsabile, reso particolare dall'effetto mosso che accentua la brillantezza del filato. Il modello, dalla costruzione essenziale con collo in magia in tono, chiusura frontale con zip e tasche laterali, è personalizzato dal ricamo sulla schiena, realizzato in tono, dell'indirizzo della sede storica della maison. L'impegno della maison nelle tematiche legate alla sostenibilità si riflette nell'utilizzo della viscosa certificata FSC, che assicura la provenienza da foreste gestite in modo responsabile e sostenibile.
","- Composizione: 84% Viscosa 16% Poliammide
- Collo baseball in maglia
- Chiusura con zip con doppio tiretto logato
- Due tasche laterali a filetto con bottone automatico
- Polsini in maglia
- Dettaglio elastico al fondo sul retro
- Personalizzazione con logo Giorgio Armani Via Borgonuovo 11
- ricamato in tono sulla schiena
- Sfoderato
- Lunghezza: 65 cm
- Made in Italy","48, 50, 52, 54, 56",2100,"[{""color"":""blunavy"",""url"":""https://www.armani.com/variants/images/1647597313161505/F/w480.jpg""}]",https://www.armani.com/it-it/blouson-in-misto-viscosa-con-ricamo-armani-sustainability-values_cod1647597313161505.html
uomo,pantaloni,blu navy,msto viscosa,"Pantaloni a una pince in misto viscosa 
",Armani Sustainability Values,casual,everyday,"Pantaloni a una pince realizzati in misto viscosa ottenuta con fibre artificiali di origine naturale da forestazione responsabile, resi particolari dall'effetto mosso che accentua la brillantezza del filato. Il modello, dalla costruzione essenziale con cinturino con passanti, chiusura frontale con zip e tasche a filetto, è perfetto per creare look disinvolti pensati per il giorno. L'impegno della maison nelle tematiche legate alla sostenibilità si riflette nell'utilizzo della viscosa certificata FSC, che assicura la provenienza da foreste gestite in modo responsabile e sostenibile.
","- Composizione: 77% Viscosa 23% Poliammide
- Modello a una pince
- Cinturino con passanti
- Chiusura con gancio, bottone e zip
- Due tasche a filetto
- Due tasche sul retro a filetto con bottone automatico
- Dettaglio piega laterale effetto goccia
- Ampiezza fondo: 20 cm
- Made in Italy","48, 50, 52, 54, 56",1100,"[{""color"":""blunavy"",""url"":""https://www.armani.com/variants/images/1647597313161516/F/w480.jpg""}]",https://www.armani.com/it-it/pantaloni-a-una-pince-in-misto-viscosa-armani-sustainability-values_cod1647597313161516.html
uomo,camicie,blu,cotone,"Camicia polo in cotone con stampa logo all-over",P/E 2023,casual,everyday,"Particolare camicia realizzata in cotone e caratterizzata dalla stampa con logo GA all-over a contrasto. Il particolare motivo dall'effetto impunturato crea un gioco di sovrapposizione che regala tridimensionalità al capo, che presenta collo guru e chiusura a 3/4 con bottoni in madreperla. Un modello versatile, perfetto alleato di look dallo spirito rilassato.

","- Composizione: 100% Cotone
- Vestibilità loose
- Collo guru con bottone e dettaglio impunture in tono
- Chiusura con tre bottoni
- Polsini a due bottoni
- Spacchi laterali
- Made in Italy","39, 40, 41, 42",650,"[{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597313161490/F/w480.jpg""}]",https://www.armani.com/it-it/camicia-polo-in-cotone-con-stampa-logo-all-over_cod1647597313161490.html
uomo,camicie,blu,seta di gelso,"Camicia a maniche corte in seta stampata",P/E 2023,casual,everyday,"Camicia a maniche corte realizzata in seta, dalla vestibilità scivolata, impreziosita dalla stampa di ispirazione geometrica multicolore. Il dettaglio della spalla scesa, le taschine applicate e gli spacchi laterali sottolineano l'attitudine rilassata e disinvolta del capo, perfetto per dare carattere a numerosi look da giorno.
","- Composizione: 100% Seta di gelso
- Collo italiano morbido
- Chiusura con bottoni
- Maniche corte
- Tasche applicate con aletta e bottone
- Spacchi sui fianchi
- Made in Italy","39, 40, 41, 42",1300,"[{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298984026/F/w480.jpg""}]",https://www.armani.com/it-it/camicia-a-maniche-corte-in-seta-stampata_cod1647597298984026.html
uomo,camicie,fantasia,seta,"Camicia a maniche corte in seta stampata",P/E 2023,casual,everyday,"Questa camicia a maniche corte, realizzata in seta, si distingue per l'attitude fresca e rilassata. Il modello, dal volume over, è caratterizzato dalla stampa a contrasto di ispirazione geometrica, e si presta a completare numerosi look da giorno, in abbinamento ai pantaloni di collezione.
","- Composizione: 100% Seta
- Collo francese
- Maniche corte
- Allacciatura con bottoni in madreperla
- Spacchetti laterali
- Made in Italy","38, 39, 40 ,41",790,"[{""color"":""fantasia"",""url"":""https://www.armani.com/variants/images/1647597298986196/F/w480.jpg""}]",https://www.armani.com/it-it/camicia-a-maniche-corte-in-seta-stampata_cod1647597298986196.html
uomo,pantaloni,beige,lana vergine,"Pantaloni a una pince in seersucker di lana e cashmere",P/E 2023,casual,everyday,"Modello chiave dello stile disinvolto e ricercato della maison, questi pantaloni a una pince realizzati in seersucker di lana e cashmere saranno il perfetto complemento di numerosi look in abbinamento alle maglie e giacche di collezione. Un modello caratterizzato da una vestibilità morbida e confortevole, che presenta due tasche laterali, chiusura con zip nascosta e due tasche sul retro.
","- Composizione: 91% Lana Vergine 8% Cachemire 1% Elastan
- Modello a una pince
- Cintura con passanti
- Chiusura con bottone e zip
- Due tasche a filetto
- Due tasche a filetto con bottone sul retro
- Ampiezza fondo: 19 cm
- Made in Italy","46, 48, 50, 52, 54, 56",990,"[{""color"":""beige"",""url"":""https://www.armani.com/variants/images/1647597313166128/F/w480.jpg""}]",https://www.armani.com/it-it/pantaloni-a-una-pince-in-seersucker-di-lana-e-cashmere_cod1647597313166128.html
uomo,giacche,fantasia,cupro,Giacca camicia in cupro stampato,Armani Sustainability Values,casual,everyday,"Giacca camicia realizzata in cupro certificato, che assicura la presenza di materiali riciclati tracciati e il rispetto dei criteri ambientali e sociali per la produzione. Un capo leggero, fresco e dalla vestibilità fluida, impreziosito dalla particolare stampa bicolore effetto onda, elemento ricorrente di questa parte di collezione, e dal dettaglio delle tue tasche con toppa applicate.
","- Composizione: 100% Cupro
- Giacca camicia monopetto
- Piccolo collo a scialle
- Allacciatura con bottoni a vista
- Polsini con bottone
- Dettaglio due tasche con pattina e bottone applicate sul petto
- Sfoderata
- Lunghezza: 70 cm
- Made in Italy","46, 48, 50, 52, 54, 56",1900,"[{""color"":""fantasia"",""url"":""https://www.armani.com/variants/images/1647597298957115/F/w480.jpg""}]",https://www.armani.com/it-it/giacca-camicia-in-cupro-stampato-armani-sustainability-values_cod1647597298957115.html
