0,1,2,3,4,5,6,7,8,9,yes,no
donna,t-shirt,blu-bianco,cotone,T-shirt-over-in-cotone-ricamato,Denim-Collection,casual,everyday,38-40-42-44-46-48,500,1,0
donna,pantaloni,denim,cotone,Pantaloni-ampi-in-denim-di-cotone-stretch,Denim-Collection,casual,everyday,38-40-42-44-46-48,1000,0,1
donna,giacche,blu,lino,Caban-corto-in-lino-stampa-delavé,Denim-Collection,casual,everyday,38-40-42-44-46-48-50,1500,1,0
uomo,giacche,bianco,cotone,Blouson-in-cotone-gessato-,Armani-Sustainability-Values,casual,everyday,46-48-50-52-54-56,2000,0,1
uomo,pantaloni,bianco,cotone,Pantaloni-a-una-pince-in-cotone-gessato,"Armani-Sustainability-Values",casual,everyday,46-48-50-52-54-56,1000,0,1
uomo,giacche,blu,misto-cotone,"Giacca-doppiopetto-in-seersucker-di-cotone-gessato",P/E-2023,casual,everyday,46-48-50-52-54,2000,0,1
uomo,pantaloni,blu,misto-cotone,"Pantaloni-cargo-a-due-pinces-in-seersucker-di-cotone-gessato",P/E-2023,casual,everyday,46-48-50-52,1000,0,1
uomo,giacche,blunavy,misto-viscosa,"Blouson-in-misto-viscosa-con-ricamo",Armani-Sustainability-Values,casual,everyday,48-50-52-54-56,2500,1,0
uomo,pantaloni,blunavy,msto-viscosa,"Pantaloni-a-una-pince-in-misto-viscosa-",Armani-Sustainability-Values,casual,everyday,48-50-52-54-56,1500,1,0
uomo,camicie,blu,cotone,"Camicia-polo-in-cotone-con-stampa-logo-all-over",P/E-2023,casual,everyday,39-40-41-42,1000,0,1
uomo,camicie,blu,seta-di-gelso,"Camicia-a-maniche-corte-in-seta-stampata",P/E-2023,casual,everyday,39-40-41-42,1500,1,0
uomo,camicie,fantasia,seta,"Camicia-a-maniche-corte-in-seta-stampata",P/E-2023,casual,everyday,38-39-40-41,1000,0,1
uomo,pantaloni,beige,lana-vergine,"Pantaloni-a-una-pince-in-seersucker-di-lana-cashmere",P/E-2023,casual,everyday,46-48-50-52-54-56,1000,0,1
uomo,giacche,fantasia,cupro,Giacca-camicia-in-cupro-stampato,Armani-Sustainability-Values,casual,everyday,46-48-50-52-54-56,2000,0,1
uomo,pantaloni,fantasia,cupro,Pantaloni-a-due-pinces-in-cupro-stampato,Armani-Sustainability-Values,casual,everyday,46-48-50-52-54-56,1500,1,0
uomo,giacche,rosacipria-blu-blunavy,misto-lyocell,Giacca-monopetto-in-lyocell-seta,Armani-Sustainability-Values,casual,everyday,46-48-50-52-54-56,2000,0,1
uomo,camicie,rosacipria-blu,misto-lyocell,Camicia-in-lyocell-seta,Armani-Sustainability-Values,casual,everyday,S-M-L-XL-XXL,1000,0,1
uomo,camicie,blu,misto-viscosa,"Camicia-polo-in-viscosa-seta",P/E-2023,casual,everyday,38-39-40-41-42,1000,0,1
uomo,pantaloni,rosacipria-blu-blunavy,misto-lyocell,Pantaloni-a-una-pince-in-lyocell-seta,Armani-Sustainability-Values,casual,everyday,46-48-50-52-54-56-58-60,1000,0,1
uomo,giacche,blunavy,lyocell,Giacca-monopetto-in-lyocell,Armani-Sustainability-Values,casual,everyday,46-48-50-52-54,3000,0,1
uomo,pantaloni,blunavy,lyocell,"Pantaloni-a-due-pinces-in-lyocell",Armani-Sustainability-Values,casual,everyday,46-48-50-52-54,1500,1,0
uomo,pantaloni,bianco,misto-cotone,"Pantaloni-flat-front-in-lino-cotone-canneté",P/E-2023,casual,everyday,46-48-50-52-54-56,1000,0,1
uomo,abiti,nero,lana-vergine,"Abito-linea-Soho-in-lana-cashmere",P/E-2023,casual,everyday,44-46-48-50-52-54-56-58-60,2500,1,0
uomo,camicie,bianco,cotone,"Camicia-slim-fit-in-jersey-di-cotone",P/E-2023,elegant,everyday-business,38-39-40-41-42,500,1,0
uomo,abiti,nero-blunavy,lana-vergine,"Abito-Linea-Soft-monopetto-in-lana-water-repellent",P/E-2023,elegant,cocktail-dinner,46-48-50-52-54-56,2000,0,1
uomo,giacche,beige,viscosa--poliammide-elastan,Giacca-monopetto-in-viscosa-stretch-bicolore,P/E-2023,elegant,business-everyday,44-46-48-50-52-54,2500,1,0
uomo,giacche,fantasia,lino--viscosa-acetato,Giacca-doppiopetto-Linea-Heritage-in-misto-viscosa-seta-jacquard,P/E-2023,elegant,busniess-everyday-cocktail-dinner,46-48-50-52-54-56,2500,1,0
uomo,blouson-,blu,viscosa-acetato,Blouson-in-misto-viscosa-jacquard-con-logo-all-over,P/E-2023,casual-,everyday,46-48-50-52-54-56,2000,0,1
uomo,pantaloni,blu,viscosa-acetato,Pantaloni-a-una-pince-in-misto-viscosa-jacquard-monogram,P/E-2023,casual-,everyday,46-48-50-52-54-56,1000,0,1
uomo,camicie,fantasia,cupro,Giacca-camicia-in-cupro-stampato-Armani-Sustainability-Values,Armani-Sustainability-Values,casual-,everyday,46-48-50-52-54-56,2000,0,1
uomo,giacche,bianco-grigiochiaro,seta-poliammide,Giacca-monopetto-in-twill-di-misto-seta,P/E-2023,elegant,everyday-cocktail-dinner,46-48-50-52-54-5658,2000,0,1
uomo,t-shirt,blu-nero-fantasia,cotone,T-shirt-girocollo-con-maxi-logo-in-interlock-di-cotone,P/E-2023,casual,everyday,46-48-50-52-54-56-58-60,500,1,0
